password,last_login,is_superuser,user_id,email,date_of_birth,gender_id,department_id,is_staff,is_active,is_admin,created_at,updated_at,login_streak,name
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-09-25 09:31:26.951988+01,False,10,li.wei@sgh.com.sg,1979-07-14,1,4,True,True,False,2024-01-01 10:00:00,2024-09-01 10:00:00,5,Li Wei
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-08-13 08:05:06.619572+01,False,11,wang.fang@sgh.com.sg,1969-05-23,2,5,True,True,False,2024-01-01 11:00:00,2024-09-02 11:00:00,4,Wang Fang
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-08-21 18:42:14.098183+01,False,12,zhang.wei@sgh.com.sg,1964-11-05,1,5,True,True,False,2024-01-01 12:00:00,2024-09-03 12:00:00,6,Zhang Wei
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-09-16 14:25:35.833066+01,False,13,chen.jie@sgh.com.sg,1974-03-18,1,2,True,True,False,2024-01-01 13:00:00,2024-09-04 13:00:00,2,Chen Jie
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-09-24 19:20:49.488021+01,False,14,liu.hong@sgh.com.sg,1986-10-09,1,4,True,True,False,2024-01-01 14:00:00,2024-09-05 14:00:00,3,Liu Hong
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-08-27 09:49:20.56519+01,False,15,yang.ming@sgh.com.sg,1971-08-22,1,4,True,True,False,2024-01-01 15:00:00,2024-09-06 15:00:00,4,Yang Ming
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-08-29 08:08:02.90476+01,False,16,zhao.ling@sgh.com.sg,1980-01-12,1,3,True,True,False,2024-01-01 16:00:00,2024-09-07 16:00:00,6,Zhao Ling
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-09-12 12:33:02.956434+01,False,17,xu.lei@sgh.com.sg,1965-09-27,1,5,True,True,False,2024-01-01 17:00:00,2024-09-08 17:00:00,1,Xu Lei
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,,False,18,huang.mei@sgh.com.sg,1985-06-15,1,2,True,True,False,2024-01-01 18:00:00,2024-09-09 18:00:00,3,Huang Mei
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-09-25 09:31:26.951988+02,False,19,zhou.yan@sgh.com.sg,1977-04-19,2,2,True,True,False,2024-01-01 19:00:00,2024-09-10 19:00:00,2,Zhou Yan
